X,data1,data1l,data1u,data2,data2l,data2u,data3,data3l,data3u,data4,data4l,data4u,data5,data5l,data5u,data6,data6l,data6u,data7,data7l,data7u,data8,data8l,data8u,data9,data9l,data9u,data10,data10l,data10u,data11,data11l,data11u,data12,data12l,data12u
1.0,3.8741629438792584,3.441245754285419,4.234237857340432,5.160537050126906,4.736844121815695,5.5760316913655,4.306364741137999,3.978154167557776,4.6401460741973715,5.884120151595717,5.716379549222514,6.083135205355057,3.935176400757889,3.6347862256155756,4.289064821583643,5.020085637609696,4.731963798762025,5.300792364927301,4.246774723218335,4.041172635026827,4.4447381767325345,7.0041537614492935,6.615182318416272,7.387877865727212,2.051348377883325,1.9264202050610113,2.1894534648678876,3.6180964414966055,3.417868336921258,3.8453480128539326,5.682808539599645,5.271109733828991,6.067521648423822,6.210225801155932,5.818268306295545,6.592255841140191
2.0,1.2556250419344193,0.8884478410896977,1.6539580048016975,2.87024062604175,2.38994778401761,3.3646271669426433,3.1506439030530866,2.7963235491005927,3.4372586931144657,4.995165157695382,4.864314122802861,5.182035850652837,1.8672213701825375,1.5500366504114402,2.223926819122651,3.102902665494638,2.8514273718934366,3.385162197931016,3.2310174077040283,3.094891908350769,3.345885813432685,4.3308719256468615,3.970806380207059,4.733428789060459,1.2015201922680838,1.027913800845,1.3869641621783442,1.6750798156207196,1.4737323415738461,1.8759226886370335,3.0471372462150144,2.610600372961079,3.467229658997069,4.142157843694568,3.776313745667141,4.562202448605353
3.0,0.7028810370314291,0.308423422653718,1.103669128284884,2.198383189813864,1.7838484106394508,2.685376448797985,2.778891941590723,2.4637492763996187,3.0943338964246374,4.554065171607946,4.434171853249238,4.6866291207591075,1.1872275596523167,0.88003804944527,1.5523789051155181,2.480789604994013,2.2652284433563197,2.7587020821013253,2.9433205848557464,2.7907293213354833,3.1482043192928786,3.7343008355029417,3.3967023152316744,4.082620971259484,0.8980579593470396,0.7548982172291928,1.0314138766405208,1.3116147169436048,1.1335218484690612,1.4780701349147947,2.478485178672784,2.031241876891782,2.8724850989416653,3.649256753269679,3.288903998368214,4.013745097434978
4.0,0.4613684523319279,0.07652899581898237,0.8981749352598584,1.8834459887218502,1.4275847377696458,2.376735892787244,2.5798308998092168,2.2283657604705787,2.947523699685349,4.334998096541151,4.130859076247651,4.455946772281917,0.8655740631868843,0.5713919440609292,1.200952281448266,2.109412971543689,1.9015986485271907,2.3799434907161467,2.682727059663117,2.521675172314761,2.7989057525987215,3.442720376879448,3.0835882139020896,3.857799051659826,0.6738512145573503,0.5184608652412384,0.8736049432583328,1.1826236326718562,1.032324116520706,1.4097682584386477,2.3282145021217744,1.9659797851621639,2.703477894056279,3.444478771693274,3.005302169265539,3.90127834875517
5.0,0.3085813066526857,-0.1250845985609222,0.6563720068211658,1.6412905084803944,1.1482261594900884,2.098900889726836,2.4415669829592868,2.1207013153140535,2.711628258104567,4.191312455354537,4.063971519955309,4.3209157267474,0.7251546266030693,0.44591885868364184,1.0324313470139899,1.8889568289020238,1.6317121913314476,2.1785043302706533,2.593174405603062,2.4577143448762704,2.774221628521071,3.315468427808533,2.9674234903386236,3.728544039332111,0.5937849837626918,0.4486895371605558,0.7951383324705137,1.1502153097850043,0.9751946227093329,1.2912404528387633,2.2450336911870608,1.8616358740144752,2.6948964553613477,3.288009367601706,2.903144838762246,3.7472480283676806
6.0,0.24268326741479151,-0.10193197731954434,0.6332447233961458,1.5037094718113342,1.0348347328823868,1.952448923973965,2.3878044504841562,2.023694973319351,2.693379822889603,4.061210601760016,3.9392599765354532,4.2231361643589,0.5375050276361913,0.2618693809264091,0.8666177504293582,1.7238757140461223,1.4945760062811462,1.9713663821330196,2.4733039017039693,2.3447494025577202,2.6512499417161965,3.2793733904499236,2.896532250689005,3.665568742724914,0.5469307191406869,0.3800891694411701,0.6810136550111167,1.0723193287023938,0.9393933104728729,1.2482423221104997,2.1819935077105166,1.7910601337155583,2.556727484588924,3.2375038688592044,2.8372207438475687,3.6112915970908164
7.0,0.17890765675298193,-0.23485713642816652,0.5938815782967392,1.435501420151761,0.9402272071615458,1.9159966205621508,2.3474998110665233,2.0073630164707534,2.6494070686746967,3.9821919470347438,3.7726565950498574,4.13043430714417,0.4442664564244544,0.15157263006474359,0.7304781801254424,1.6305605882431577,1.3622299732521057,1.8690520855717498,2.442306649247582,2.3307449876077175,2.6245281449689233,3.197665196688122,2.827110315157085,3.539074695707898,0.4780609179526232,0.26517374497449464,0.6907112022284833,1.0388523961374025,0.8359400006522102,1.2007148852170324,2.077319018863198,1.6898113940601667,2.49427092824003,3.209069217592787,2.7796676350805676,3.573768155067604
8.0,0.1765670648859563,-0.22543443342443575,0.5348539125489146,1.4013635230242119,0.9466844426429413,1.8638218350654805,2.2857563568426866,1.926069819521742,2.5947906700674848,3.923859784873459,3.744695542331129,4.1195255353425315,0.39701714978578434,0.11826170714580408,0.7670592814722568,1.61718552169994,1.3831538565835588,1.91120547454471,2.402231570982158,2.213383528421842,2.5332027185454677,3.1279365391782608,2.763741761933377,3.499597539733375,0.4408477986320083,0.2976605326814341,0.6099173019667112,1.0457463804761804,0.816004517458282,1.275995322841624,2.0870640865084265,1.712225784278174,2.5142318515551363,3.1896933912753385,2.827736799216477,3.591339817536805
9.0,0.14274531471969298,-0.20065539540715155,0.5221161615136374,1.3281172909951349,0.8325604048674261,1.750196474104226,2.279517106657555,1.9168050422041465,2.6349124894325664,3.820757643528406,3.6357146932092568,3.98014927398593,0.3743522336271191,0.08886559497706814,0.7169977466883158,1.555322231754392,1.3065040636417875,1.7683566340748929,2.39409211385766,2.1903564346360582,2.5753898211467536,3.152408333022823,2.7854568085720777,3.487277321007573,0.3736030490025508,0.24529240183805054,0.585082031573794,1.0673136519255124,0.8513502286466892,1.2071659868791693,2.0483330482651714,1.6266875283030582,2.468745881206303,3.156512050830801,2.745376405763974,3.5427578633683776
10.0,0.05952042325225069,-0.3529657276459157,0.40637414671324024,1.3021625376777337,0.8212344190333667,1.7928145569758867,2.215122067892986,1.866421441038637,2.5274285829454763,3.797372468817097,3.6285845230829112,3.9653149850136455,0.30515998714779125,0.02224448447014349,0.6095391722351622,1.4301468847778427,1.2115490458962952,1.7315168645589187,2.349347752034669,2.2302872623263985,2.5071426134594406,3.109544918505716,2.7404311746891947,3.5345356575965376,0.3086380436334785,0.09315611680638886,0.515298768827125,0.9973939248872736,0.8168750153451159,1.1811594354245059,2.0448283914975556,1.6760113095868907,2.404587886739395,3.146790347162375,2.7750013205679545,3.5229878160462342
